,reward
546,-1.4167999999999998
547,-1.9251300000000005
548,-1.7921400000000094
549,-1.9617600000000046
550,-2.1234000000000135
551,-2.7100900000000196
552,-2.700120000000015
553,-21.514080000000035
554,-2.111580000000003
555,-2.063599999999999
556,-2.8037300000000154
557,-1.878799999999999
558,-1.4353800000000008
559,-82.67575000000004
560,-2.9037400000000186
561,-3.290090000000028
562,-1.817199999999999
563,-1.878799999999999
564,-5.784730000000035
565,-1.9403999999999988
566,-1.3552
567,-1.6939999999999993
568,-5.971140000000049
569,-6.396320000000038
570,-39.87130000000005
571,-4.503860000000011
572,-1.847999999999999
573,-2.879120000000009
574,-6.8094200000000304
575,-37.73952000000008
576,-21.236780000000067
577,-13.00454000000002
578,-20.69118000000004
579,-2.556400000000002
580,-14.244980000000025
581,-5.200480000000013
582,-95.46203000000018
583,-1.7920000000000036
584,-4.025540000000024
585,-1.7860600000000029
586,-10.576440000000023
587,-6.071870000000024
588,-3.2312500000000153
589,-18.150330000000054
590,-38.358300000000135
591,-1.4020600000000047
592,-9.469520000000042
593,-39.192150000000105
594,-10.038710000000055
595,-24.94160000000008
596,-2.956800000000004
597,-3.079320000000014
598,-13.821210000000065
599,-3.462200000000023
600,-9.687650000000032
601,-1.6323999999999994
602,-19.754260000000066
603,-5.3785200000000275
604,-2.895840000000013
605,-12.686380000000037
606,-2.8043100000000036
607,-3.6401700000000305
608,-4.789790000000028
609,-6.852150000000022
610,-7.632370000000037
611,-7.117000000000049
612,-7.04975000000003
613,-2.4640000000000013
614,-5.147360000000032
615,-5.834560000000038
616,-3.1521200000000174
617,-2.1448000000000023
618,-3.9427000000000163
619,-35.432860000000076
620,-2.7942000000000142
621,-1.786399999999999
622,-3.308760000000027
623,-5.37264000000003
624,-11.914050000000062
625,-3.3279300000000123
626,-98.06580000000008
627,-1.7509000000000106
628,-5.609320000000046
629,-1.526630000000005
630,-1.786399999999999
631,-67.22256000000016
632,-11.718470000000035
633,-3.624040000000023
634,-4.082650000000019
635,-2.278300000000006
636,-2.5208900000000107
637,-2.671000000000014
638,-21.20291000000003
639,-4.921630000000015
640,-1.885840000000003
641,-1.847999999999999
642,-2.001999999999999
643,-1.386
644,-3.3949600000000304
645,-3.1854200000000223
646,-1.9514500000000063
647,-8.241970000000054
648,-3.014720000000027
649,-9.252130000000028
650,-2.156520000000005
651,-2.3077600000000187
652,-1.1858200000000017
653,-4.9776100000000305
654,-2.3508600000000186
655,-4.373750000000017
656,-6.557540000000038
657,-1.4065600000000034
658,-7.520770000000047
659,-3.83792000000003
660,-1.7673100000000117
661,-1.2296000000000022
662,-3.340540000000032
663,-4.788110000000044
664,-3.3660800000000166
665,-1.4395100000000063
666,-1.8057200000000155
667,-7.012030000000034
668,-0.9548000000000006
669,-1.0780000000000005
670,-1.832290000000013
671,-2.149600000000018
672,-15.060410000000033
673,-22.170000000000048
674,-8.325900000000056
675,-22.053670000000036
676,-11.447080000000046
677,-2.813250000000017
678,-32.235500000000066
679,-3.120560000000017
680,-9.153990000000032
681,-3.760300000000015
682,-55.7791900000001
683,-6.13521000000004
684,-3.925460000000014
685,-1.4783999999999997
686,-2.249430000000006
687,-13.626330000000054
688,-1.1396000000000004
689,-15.111000000000061
690,-11.109180000000055
691,-4.0028100000000215
692,-42.441690000000115
693,-32.79156000000005
694,-8.097680000000048
695,-12.01516000000003
696,-3.3865000000000185
697,-95.09479000000019
698,-14.869980000000032
699,-1.682610000000014
700,-15.712100000000031
701,-2.9781700000000293
702,-6.9425000000000345
703,-1.0472000000000006
704,-54.35155000000013
705,-9.46323000000006
706,-4.082770000000026
707,-2.6767200000000226
708,-2.5533200000000247
709,-39.574720000000056
710,-12.575480000000022
711,-1.2815800000000104
712,-2.204760000000017
713,-8.069790000000042
714,-9.489070000000032
715,-3.4639100000000194
716,-2.4638600000000097
717,-16.568550000000062
718,-7.390110000000035
719,-4.8999300000000146
720,-1.3552
721,-3.8371000000000293
722,-3.2488200000000167
723,-2.2807300000000126
724,-2.0943999999999994
725,-2.391200000000003
726,-2.3353600000000116
727,-19.308770000000067
728,-0.9548000000000006
729,-9.122430000000035
730,-1.1088000000000005
731,-3.291120000000016
732,-8.367740000000047
733,-1.5882800000000097
734,-4.043200000000022
735,-44.74313000000013
736,-2.182530000000013
737,-3.440520000000023
738,-2.3554200000000067
739,-2.9255500000000105
740,-1.7247999999999992
741,-8.455640000000034
742,-6.907900000000046
743,-5.494100000000027
744,-2.6096600000000154
745,-2.656260000000018
746,-7.051040000000029
747,-22.169790000000056
748,-1.8846000000000074
749,-4.7266500000000296
750,-28.973420000000083
751,-1.3244
752,-8.946280000000007
753,-1.5707999999999995
754,-1.683400000000003
755,-10.590189999999998
756,-2.145310000000011
757,-1.7247999999999992
758,-89.22852000000012
759,-4.398930000000045
760,-31.1481800000001
761,-14.66553000000006
762,-33.06837000000008
763,-52.40400000000011
764,-2.8336000000000032
765,-2.249600000000002
766,-2.630540000000003
767,-6.825220000000032
768,-5.326290000000032
769,-2.7726800000000127
770,-1.8528000000000007
771,-5.542200000000031
772,-2.3100000000000005
773,-3.18800000000002
774,-3.1518000000000135
775,-1.847999999999999
776,-1.7555999999999992
777,-30.5419100000001
778,-8.95838000000003
779,-3.600760000000022
780,-4.645500000000034
781,-1.847999999999999
782,-3.2648000000000055
783,-2.03639
784,-17.62496000000005
785,-5.429230000000035
786,-1.9403999999999988
787,-3.5860100000000243
788,-7.292920000000055
789,-2.317200000000002
790,-5.806040000000022
791,-1.9711999999999987
792,-12.036460000000046
793,-1.847999999999999
794,-30.158330000000046
795,-10.410750000000066
796,-3.5059200000000157
797,-4.286170000000013
798,-62.473580000000055
799,-11.895620000000065
800,-1.6674
801,-11.573200000000032
802,-1.4167999999999998
803,-44.951080000000104
804,-6.204400000000025
805,-19.36586000000004
806,-14.945770000000062
807,-6.752240000000039
808,-2.5256000000000016
809,-51.49711000000008
810,-9.015440000000039
811,-1.5399999999999996
812,-3.4895600000000244
813,-3.3087200000000196
814,-12.135930000000068
815,-6.688110000000042
816,-3.3361700000000165
817,-10.279320000000054
818,-1.696440000000013
819,-5.661050000000033
820,-21.59071000000007
821,-1.947680000000016
822,-1.6631999999999993
823,-18.906240000000086
824,-7.983930000000058
825,-3.351310000000011
826,-3.8850800000000176
827,-14.032770000000045
828,-2.532750000000007
829,-7.0488800000000404
830,-35.67747000000012
831,-2.2245400000000157
832,-6.411300000000019
833,-2.8305600000000117
834,-2.390340000000003
835,-11.09668000000005
836,-2.608000000000008
837,-12.515540000000057
838,-5.029380000000041
839,-2.521980000000013
840,-2.2792000000000003
841,-37.91412000000011
842,-22.085420000000056
843,-9.249740000000024
844,-15.294100000000027
845,-14.519090000000062
846,-3.079550000000013
847,-3.311420000000019
848,-76.26960000000011
849,-2.4490000000000065
850,-2.0888000000000004
851,-3.343010000000011
852,-8.846519999999993
853,-2.7854000000000125
854,-1.878799999999999
855,-2.667320000000004
856,-1.91796
857,-79.84485000000006
858,-3.385920000000014
859,-11.254880000000062
860,-2.4072700000000067
861,-5.625480000000047
862,-2.618000000000002
863,-3.1018300000000076
864,-2.4948000000000015
865,-1.847999999999999
866,-1.6201200000000007
867,-52.38164000000008
868,-2.1386000000000003
869,-1.7698000000000027
870,-2.9260000000000037
871,-29.223270000000092
872,-4.279000000000019
873,-28.372290000000095
874,-2.3100000000000005
875,-13.614460000000054
876,-4.95471000000002
877,-2.6878800000000105
878,-1.847999999999999
879,-2.3408000000000007
880,-2.621840000000005
881,-4.747870000000027
882,-3.3199800000000166
883,-2.032799999999999
884,-4.839190000000024
885,-2.3408000000000007
886,-4.877680000000024
887,-12.88388000000006
888,-11.865780000000054
889,-8.019820000000044
890,-7.260460000000027
891,-7.536990000000056
892,-2.4073500000000023
893,-2.587200000000002
894,-2.084570000000003
895,-7.838480000000031
896,-65.25498000000007
897,-2.3100000000000005
898,-2.77956000000001
899,-1.8504400000000016
900,-3.7653200000000258
901,-2.8711200000000123
902,-3.797860000000014
903,-2.402100000000004
904,-2.2792000000000003
905,-11.941480000000045
906,-2.169800000000001
907,-4.614130000000031
908,-3.1342700000000265
909,-10.61035000000003
910,-4.226630000000027
911,-13.803140000000075
912,-6.062800000000038
913,-2.405840000000002
914,-12.066380000000045
915,-14.631030000000075
916,-11.237040000000034
917,-2.2287200000000076
918,-1.9711999999999987
919,-19.499840000000038
920,-4.291120000000014
921,-2.032799999999999
922,-2.790520000000013
923,-3.285940000000017
924,-1.9711999999999987
925,-10.547340000000053
926,-1.8124800000000012
927,-5.332790000000039
928,-6.135280000000042
929,-2.1868
930,-33.10465000000009
931,-1.9504800000000082
932,-4.24050000000002
933,-2.219220000000008
934,-8.083750000000034
935,-2.113320000000001
936,-1.727600000000005
937,-10.501080000000066
938,-15.61693000000003
939,-2.3400300000000143
940,-30.94608000000011
941,-9.893660000000029
942,-2.9730400000000112
943,-7.84028000000004
944,-6.0392900000000305
945,-6.932750000000031
946,-3.155600000000014
947,-1.6939999999999993
948,-2.6944400000000135
949,-2.4459600000000066
950,-2.338300000000002
951,-2.7432200000000133
952,-31.930060000000076
953,-88.35584000000001
954,-3.6316000000000224
955,-3.1546500000000064
956,-3.3811700000000133
957,-3.09234000000001
958,-5.673370000000032
959,-1.924800000000002
960,-2.6355300000000046
961,-1.7247999999999992
962,-22.216920000000048
963,-13.93142000000004
964,-20.111980000000088
965,-51.1630000000001
966,-5.1103700000000325
967,-2.433200000000001
968,-2.8336000000000032
969,-5.367960000000032
970,-47.857940000000056
971,-5.529780000000027
972,-6.998800000000019
973,-2.342620000000002
974,-12.22866000000005
975,-13.007700000000055
976,-1.7555999999999992
977,-14.062400000000057
978,-1.714560000000001
979,-21.710600000000056
980,-3.4917100000000274
981,-9.71159000000001
982,-2.433200000000001
983,-6.620430000000027
984,-47.36132000000008
985,-1.878799999999999
986,-2.371600000000001
987,-7.316400000000045
988,-3.374150000000009
989,-4.134790000000019
990,-14.474410000000038
991,-76.74057000000019
992,-8.043050000000038
993,-5.066890000000047
994,-3.479630000000021
995,-2.2484
996,-2.147300000000007
997,-4.273700000000022
998,-29.030970000000064
999,-13.89136000000004
