,reward
397,-1.7186000000000115
398,-1.8116000000000003
399,-3.684800000000035
400,-2.015100000000016
401,-1.4496000000000135
402,-3.2802000000000424
403,-12.437400000000057
404,-69.96140000000031
405,-25.084700000000144
406,-22.626400000000135
407,-3.524100000000029
408,-5.927200000000026
409,-1.9783999999999995
410,-2.2518000000000304
411,-6.15910000000007
412,-7.902500000000041
413,-2.661200000000036
414,-4.228300000000032
415,-6.522200000000077
416,-7.460500000000086
417,-22.531800000000146
418,-26.386800000000118
419,-6.289500000000054
420,-2.310400000000016
421,-2.2554000000000096
422,-4.395100000000031
423,-4.725700000000014
424,-3.4339000000000284
425,-1.5660000000000096
426,-2.007300000000003
427,-2.4900000000000126
428,-1.5044000000000044
429,-4.772100000000039
430,-2.395000000000011
431,-4.774200000000031
432,-4.759000000000035
433,-2.409900000000013
434,-2.9080000000000057
435,-2.8376000000000228
436,-4.33520000000004
437,-6.447900000000047
438,-2.6894000000000213
439,-13.096500000000107
440,-36.785500000000155
441,-5.802100000000041
442,-17.181900000000027
443,-4.036000000000039
444,-1.7344000000000093
445,-20.245700000000067
446,-10.019700000000057
447,-6.951800000000068
448,-6.482200000000053
449,-1.8223000000000154
450,-8.502500000000053
451,-0.9782000000000047
452,-25.388500000000107
453,-10.731000000000034
454,-7.052000000000057
455,-4.0911000000000275
456,-2.028700000000013
457,-2.515900000000032
458,-7.289200000000043
459,-3.317500000000028
460,-4.970500000000044
461,-1.061800000000015
462,-6.495900000000046
463,-4.923400000000047
464,-22.5187000000001
465,-3.6344000000000323
466,-1.951700000000015
467,-1.9803000000000106
468,-7.529500000000072
469,-22.500200000000078
470,-3.176700000000025
471,-4.298300000000031
472,-7.492900000000058
473,-2.962400000000035
474,-3.5666000000000424
475,-0.883800000000004
476,-2.103500000000018
477,-7.704700000000056
478,-1.855400000000019
479,-5.678200000000044
480,-4.1490000000000204
481,-1.8570000000000304
482,-11.671100000000077
483,-1.7932000000000154
484,-12.171500000000057
485,-20.784500000000122
486,-9.458200000000058
487,-1.2838000000000038
488,-4.767700000000032
489,-5.312800000000046
490,-1.5832000000000015
491,-1.2694000000000054
492,-1.1797000000000009
493,-4.116300000000033
494,-6.025600000000017
495,-1.781200000000017
496,-5.984700000000059
497,-11.682400000000039
498,-3.426700000000018
499,-9.066800000000068
500,-9.12500000000007
